id,person,date,salary,raise_type
1564,315,01/05/2016,"R$ 1.811,62",raise
1490,295,01/05/2016,"R$ 1.754,13",raise
1228,86,01/05/2016,"R$ 1.691,17",raise
413,81,01/05/2016,"R$ 1.528,63",raise
1309,257,01/05/2016,"R$ 1.490,95",raise
1256,243,01/05/2016,"R$ 1.426,98",raise
1273,246,01/05/2016,"R$ 1.378,73",raise
1252,242,06/04/2016,"R$ 3.329,29",raise
1387,269,04/04/2016,"R$ 5.634,93",raise
1469,291,28/03/2016,"R$ 2.871,32",initial
1534,308,01/03/2016,"R$ 3.542,03",initial
672,119,01/12/2015,"R$ 2.734,07",raise
1357,265,01/11/2015,"R$ 4.300,30",raise
1255,243,01/11/2015,"R$ 1.299,28",raise
1593,322,05/10/2015,"R$ 4.300,30",initial
631,116,01/10/2015,"R$ 10.611,76",raise
1386,269,01/10/2015,"R$ 5.130,59",raise
1438,278,01/10/2015,"R$ 5.056,33",raise
506,97,01/10/2015,"R$ 2.829,76",raise
1272,246,14/09/2015,"R$ 1.255,34",initial
780,138,01/09/2015,"R$ 3.794,31",raise
1485,294,01/09/2015,"R$ 3.794,31",raise
1235,240,01/09/2015,"R$ 3.258,66",raise
1489,295,01/09/2015,"R$ 1.597,14",raise
1227,86,01/09/2015,"R$ 1.539,81",raise
1324,259,01/08/2015,"R$ 4.606,59",raise
1557,313,01/08/2015,"R$ 3.542,02",raise
1371,266,01/08/2015,"R$ 2.734,07",raise
1586,319,01/08/2015,"R$ 2.734,07",raise
654,118,01/08/2015,"R$ 1.832,76",raise
465,91,20/07/2015,"R$ 2.829,76",initial
1524,306,01/07/2015,"R$ 10.403,48",raise
1385,269,01/07/2015,"R$ 4.789,46",raise
1413,274,01/07/2015,"R$ 3.372,72",raise
1417,275,01/07/2015,"R$ 3.372,72",raise
1478,293,01/07/2015,"R$ 2.829,76",raise
1563,315,01/07/2015,"R$ 1.649,48",raise
1502,297,08/06/2015,"R$ 1.597,14",initial
1308,257,02/06/2015,"R$ 1.255,34",raise
1576,316,02/06/2015,"R$ 1.255,34",raise
569,108,01/06/2015,"R$ 3.702,00",raise
1428,277,01/06/2015,"R$ 2.829,76",raise
1400,272,01/06/2015,"R$ 2.734,07",raise
1307,257,01/06/2015,"R$ 1.151,15",initial
1575,316,01/06/2015,"R$ 1.151,15",initial
568,108,05/05/2015,"R$ 3.576,81",raise
1254,243,05/05/2015,"R$ 1.255,34",raise
1253,243,04/05/2015,"R$ 1.151,15",initial
1553,312,02/05/2015,"R$ 3.927,11",raise
1356,265,02/05/2015,"R$ 3.612,94",raise
1523,306,01/05/2015,"R$ 8.934,81",raise
630,116,01/05/2015,"R$ 7.506,67",raise
1437,278,01/05/2015,"R$ 4.885,35",raise
1384,269,01/05/2015,"R$ 4.627,50",raise
1323,259,01/05/2015,"R$ 4.450,81",raise
1484,294,01/05/2015,"R$ 3.666,00",raise
1552,312,01/05/2015,"R$ 3.601,17",raise
1514,302,01/05/2015,"R$ 3.542,03",raise
779,138,01/05/2015,"R$ 3.490,76",raise
1355,265,01/05/2015,"R$ 3.313,07",raise
1556,313,01/05/2015,"R$ 3.294,91",raise
1412,274,01/05/2015,"R$ 3.258,66",raise
1416,275,01/05/2015,"R$ 3.258,66",raise
1251,242,01/05/2015,"R$ 3.031,31",raise
1621,332,01/05/2015,"R$ 2.971,82",raise
1234,240,01/05/2015,"R$ 2.928,81",raise
505,97,01/05/2015,"R$ 2.734,07",raise
1427,277,01/05/2015,"R$ 2.734,07",raise
1477,293,01/05/2015,"R$ 2.734,07",raise
671,119,01/05/2015,"R$ 2.641,62",raise
1370,266,01/05/2015,"R$ 2.641,62",raise
1399,272,01/05/2015,"R$ 2.641,62",raise
1579,317,01/05/2015,"R$ 2.641,62",raise
1585,319,01/05/2015,"R$ 2.641,62",raise
653,118,01/05/2015,"R$ 1.543,13",raise
1488,295,01/05/2015,"R$ 1.543,13",raise
1562,315,01/05/2015,"R$ 1.539,81",raise
1226,86,01/05/2015,"R$ 1.487,74",raise
412,81,01/05/2015,"R$ 1.391,82",raise
1436,278,01/04/2015,"R$ 4.479,87",raise
1513,302,01/04/2015,"R$ 3.248,05",raise
1233,240,01/04/2015,"R$ 2.685,72",raise
504,97,01/04/2015,"R$ 2.507,15",raise
1225,86,01/04/2015,"R$ 1.364,26",raise
629,116,01/03/2015,"R$ 6.883,64",raise
1483,294,01/03/2015,"R$ 3.361,73",raise
778,138,01/03/2015,"R$ 3.201,04",raise
1232,240,01/03/2015,"R$ 2.594,90",raise
1224,86,01/03/2015,"R$ 1.273,55",raise
1584,319,11/02/2015,"R$ 2.422,37",initial
1322,259,01/02/2015,"R$ 4.081,40",raise
1512,302,01/02/2015,"R$ 3.021,44",raise
1555,313,01/02/2015,"R$ 3.021,44",raise
1620,332,01/02/2015,"R$ 2.725,16",raise
670,119,01/02/2015,"R$ 2.422,37",raise
1369,266,01/02/2015,"R$ 2.422,37",raise
652,118,01/02/2015,"R$ 1.415,06",raise
